File ID	File Name	Data Category	Data Type	Project ID	Case ID	Sample ID	Sample Type
bf7b03dc-bbfe-40bb-afc4-1f64201c9a21	170774c0-b96c-438a-8b57-d3f22c1f6dbe.wxs.aliquot_ensemble_masked.maf.gz	Simple Nucleotide Variation	Masked Somatic Mutation	CPTAC-2	15CO001, 15CO001	c2db7236-990c-42b6-9ffb-2ad150, 7e71d580-cbc5-4ced-938a-a2d9b9	Primary Tumor, Blood Derived Normal
eff9b7f2-b8e7-4ac7-bb7e-57d1df43db5b	11e46a58-69d4-4b75-882f-7bd11a3b2eda.wxs.aliquot_ensemble_masked.maf.gz	Simple Nucleotide Variation	Masked Somatic Mutation	CPTAC-2	01CO008, 01CO008	0c1f2419-4b8a-42f7-a369-a5b438, 9452572f-e3ec-4063-a82e-43ac90	Blood Derived Normal, Primary Tumor
2ee65245-fa8d-432f-b9e1-ed2125ecc0ef	4157bc74-6ad9-493d-8719-1874fdc42847.wxs.aliquot_ensemble_masked.maf.gz	Simple Nucleotide Variation	Masked Somatic Mutation	CPTAC-2	05CO014, 05CO014	acf5eda7-4858-4a52-8ebd-54326f, 6968a80f-fd06-4669-b4bd-9a5cb5	Blood Derived Normal, Primary Tumor
54956eaf-a827-45cf-9ba9-843b27415dbc	3b3d9966-ae75-4421-a58a-89a012ff5d0e.wxs.aliquot_ensemble_masked.maf.gz	Simple Nucleotide Variation	Masked Somatic Mutation	CPTAC-2	11CO057, 11CO057	428d09b8-eca7-432f-8af9-6b5697, e515eb5c-8005-416a-9b42-59de9d	Blood Derived Normal, Primary Tumor
118059ba-098d-4f34-8d8d-e6f973d6a194	78e123b5-21d6-48a7-abf0-14014faae2f8.wxs.aliquot_ensemble_masked.maf.gz	Simple Nucleotide Variation	Masked Somatic Mutation	CPTAC-2	16CO006, 16CO006	97423edb-6f19-4b41-a7cb-af1635, c90a8f99-71b8-41bf-b60d-9be49c	Primary Tumor, Blood Derived Normal
d1307217-b525-476a-b439-31a745f3315d	c84f92b9-3fab-4a4c-a1f4-5b2b9cf6246b.wxs.aliquot_ensemble_masked.maf.gz	Simple Nucleotide Variation	Masked Somatic Mutation	CPTAC-2	01CO001, 01CO001	32a96c14-8234-45e7-b15b-085a13, 760f15d2-444c-4deb-b133-62f3ca	Blood Derived Normal, Primary Tumor
845ef1fa-df7c-4907-b075-8be69c90fadd	fb3af0fa-758f-490e-97ca-d91f637392f9.wxs.aliquot_ensemble_masked.maf.gz	Simple Nucleotide Variation	Masked Somatic Mutation	CPTAC-2	01CO005, 01CO005	26fc0181-e1ed-4853-9c67-535552, 59891744-2db3-4541-a86a-7f911f	Blood Derived Normal, Primary Tumor
e9a6f754-db00-4f3e-be44-bdc563043f1b	b9994efd-227d-4842-a291-7d433a57f0b7.wxs.aliquot_ensemble_masked.maf.gz	Simple Nucleotide Variation	Masked Somatic Mutation	CPTAC-2	09CO018, 09CO018	74c4f1df-e3a5-423f-983d-3a0f94, 743c74e4-cd76-4f38-8cb4-3c9107	Blood Derived Normal, Primary Tumor
9022765c-6512-40d4-ae7a-e1dbc0f2546d	5dd7c580-f9ed-46ad-b6e4-f33c3cd5b118.wxs.aliquot_ensemble_masked.maf.gz	Simple Nucleotide Variation	Masked Somatic Mutation	CPTAC-2	11CO054, 11CO054	f6a7f764-2495-4a1d-89a2-e12f51, 7de55254-1dfe-43e0-8ee9-6e26e8	Primary Tumor, Blood Derived Normal
d15719f1-0682-47e2-b4c6-199d76d5143b	ea77d33a-d4b7-4666-9955-3c9c151397f7.wxs.aliquot_ensemble_masked.maf.gz	Simple Nucleotide Variation	Masked Somatic Mutation	CPTAC-2	01CO006, 01CO006	f9d6fb1b-988e-4d28-9272-cc672f, a354b1e9-7813-4274-957c-5e1768	Primary Tumor, Blood Derived Normal
